source,target,shared_len_m,queen,rook
68,95,0.0,1,1
69,70,2400.0,1,1
69,97,1785.714,1,1
69,98,0.0,1,0
69,96,0.0,1,0
70,71,2400.0,1,1
70,98,1785.714,1,1
70,99,0.0,1,0
70,97,0.0,1,0
71,72,2400.0,1,1
71,99,1785.714,1,1
71,100,0.0,1,0
71,98,0.0,1,0
72,73,2400.0,1,1
72,100,1785.714,1,1
72,101,0.0,1,0
72,99,0.0,1,0
73,74,2400.0,1,1
73,101,1785.714,1,1
73,102,0.0,1,0
73,100,0.0,1,0
74,75,2400.0,1,1
74,102,1785.714,1,1
74,103,0.0,1,0
74,101,0.0,1,0
75,76,0.0,1,0
75,103,1785.714,1,1
75,104,0.0,1,0
75,102,0.0,1,0
76,77,2400.0,1,1
76,104,1785.714,1,1
76,105,0.0,1,0
76,103,0.0,1,0
77,78,0.0,1,0
77,105,1785.714,1,1
77,106,0.0,1,0
77,104,0.0,1,0
78,79,2400.0,1,1
78,106,1785.714,1,1
78,107,0.0,1,0
78,105,0.0,1,0
79,80,2400.0,1,1
79,107,1785.714,1,1
79,108,0.0,1,0
79,106,0.0,1,0
80,81,0.0,1,0
80,108,1785.714,1,1
80,109,0.0,1,0
80,107,0.0,1,0
81,82,2400.0,1,1
81,109,1785.714,1,1
81,110,0.0,1,0
81,108,0.0,1,0
82,83,0.0,1,0
82,110,1785.714,1,1
82,111,0.0,1,0
82,109,0.0,1,0
83,111,1785.714,1,1
83,110,0.0,1,0
84,85,2400.0,1,1
84,112,1785.714,1,1
84,113,0.0,1,0
85,86,2400.0,1,1
85,113,1785.714,1,1
85,114,0.0,1,0
85,112,0.0,1,0
86,87,2400.0,1,1
86,114,1785.714,1,1
86,115,0.0,1,0
86,113,0.0,1,0
87,88,2400.0,1,1
87,115,1785.714,1,1
87,116,0.0,1,0
87,114,0.0,1,0
88,89,2400.0,1,1
88,116,1785.714,1,1
88,117,0.0,1,0
88,115,0.0,1,0
89,90,4800.0,1,1
89,117,1785.714,1,1
89,118,0.0,1,1
89,116,0.0,1,0
90,91,2400.0,1,1
90,118,1785.714,1,1
90,119,0.0,1,0
90,117,0.0,1,1
91,92,2400.0,1,1
91,119,1785.714,1,1
91,120,0.0,1,0
91,118,0.0,1,0
92,93,2400.0,1,1
92,120,1785.714,1,1
92,121,0.0,1,0
92,119,0.0,1,0
93,94,2400.0,1,1
93,121,1785.714,1,1
93,122,0.0,1,0
93,120,0.0,1,0
94,95,2400.0,1,1
94,122,1785.714,1,1
94,123,0.0,1,0
94,121,0.0,1,0
95,96,4800.0,1,1
95,123,1785.714,1,1
95,124,0.0,1,1
95,122,0.0,1,0
96,97,2400.0,1,1
96,124,1785.714,1,1
96,125,0.0,1,0
96,123,0.0,1,1
97,98,2400.0,1,1
97,125,1785.714,1,1
97,126,0.0,1,0
97,124,0.0,1,0
98,99,2400.0,1,1
98,126,1785.714,1,1
98,127,0.0,1,0
98,125,0.0,1,0
99,100,2400.0,1,1
99,127,1785.714,1,1
99,128,0.0,1,0
99,126,0.0,1,0
100,101,2400.0,1,1
100,128,1785.714,1,1
100,129,0.0,1,0
100,127,0.0,1,0
101,102,2400.0,1,1
101,129,1785.714,1,1
101,130,0.0,1,0
101,128,0.0,1,0
102,103,2400.0,1,1
102,130,1785.714,1,1
102,131,0.0,1,0
102,129,0.0,1,0
103,104,0.0,1,0
103,131,1785.714,1,1
103,132,0.0,1,0
103,130,0.0,1,0
104,105,2400.0,1,1
104,132,1785.714,1,1
104,133,0.0,1,0
104,131,0.0,1,0
105,106,0.0,1,0
105,133,1785.714,1,1
105,134,0.0,1,0
105,132,0.0,1,0
106,107,2400.0,1,1
106,134,1785.714,1,1
106,135,0.0,1,0
106,133,0.0,1,0
107,108,2400.0,1,1
107,135,1785.714,1,1
107,136,0.0,1,0
107,134,0.0,1,0
108,109,0.0,1,0
108,136,1785.714,1,1
108,137,0.0,1,0
108,135,0.0,1,0
109,110,2400.0,1,1
109,137,1785.714,1,1
109,138,0.0,1,0
109,136,0.0,1,0
110,111,0.0,1,0
110,138,1785.714,1,1
110,139,0.0,1,0
110,137,0.0,1,0
111,139,1785.714,1,1
111,138,0.0,1,0
112,113,2400.0,1,1
112,140,1785.714,1,1
112,141,0.0,1,0
113,114,2400.0,1,1
113,141,1785.714,1,1
113,142,0.0,1,0
113,140,0.0,1,0
114,115,2400.0,1,1
114,142,1785.714,1,1
114,143,0.0,1,0
114,141,0.0,1,0
115,116,2400.0,1,1
115,143,1785.714,1,1
115,144,0.0,1,0
115,142,0.0,1,0
116,117,2400.0,1,1
116,144,1785.714,1,1
116,145,0.0,1,0
116,143,0.0,1,0
117,118,4800.0,1,1
117,145,1785.714,1,1
117,146,0.0,1,1
117,144,0.0,1,0
118,119,2400.0,1,1
118,146,1785.714,1,1
118,147,0.0,1,0
118,145,0.0,1,1
119,120,2400.0,1,1
119,147,1785.714,1,1
119,148,0.0,1,0
119,146,0.0,1,0
120,121,2400.0,1,1
120,148,1785.714,1,1
120,149,0.0,1,0
120,147,0.0,1,0
121,122,2400.0,1,1
121,149,1785.714,1,1
121,150,0.0,1,0
121,148,0.0,1,0
122,123,2400.0,1,1
122,150,1785.714,1,1
122,151,0.0,1,0
122,149,0.0,1,0
123,124,4800.0,1,1
123,151,1785.714,1,1
123,152,0.0,1,1
123,150,0.0,1,0
124,125,2400.0,1,1
124,152,1785.714,1,1
124,153,0.0,1,0
124,151,0.0,1,1
125,126,2400.0,1,1
125,153,1785.714,1,1
125,154,0.0,1,0
125,152,0.0,1,0
126,127,2400.0,1,1
126,154,1785.714,1,1
126,155,0.0,1,0
126,153,0.0,1,0
127,128,2400.0,1,1
127,155,1785.714,1,1
127,156,0.0,1,0
127,154,0.0,1,0
128,129,2400.0,1,1
128,156,1785.714,1,1
128,157,0.0,1,0
128,155,0.0,1,0
129,130,2400.0,1,1
129,157,1785.714,1,1
129,158,0.0,1,0
129,156,0.0,1,0
130,131,2400.0,1,1
130,158,1785.714,1,1
130,159,0.0,1,0
130,157,0.0,1,0
131,132,0.0,1,0
131,159,1785.714,1,1
131,160,0.0,1,0
131,158,0.0,1,0
132,133,2400.0,1,1
132,160,1785.714,1,1
132,161,0.0,1,0
132,159,0.0,1,0
133,134,0.0,1,0
133,161,1785.714,1,1
133,162,0.0,1,0
133,160,0.0,1,0
134,135,2400.0,1,1
134,162,1785.714,1,1
134,163,0.0,1,0
134,161,0.0,1,0
135,136,2400.0,1,1
135,163,1785.714,1,1
135,164,0.0,1,0
135,162,0.0,1,0
136,137,0.0,1,0
136,164,1785.714,1,1
136,165,0.0,1,0
136,163,0.0,1,0
137,138,2400.0,1,1
137,165,1785.714,1,1
137,166,0.0,1,0
137,164,0.0,1,0
138,139,0.0,1,0
138,166,1785.714,1,1
138,167,0.0,1,0
138,165,0.0,1,0
139,167,1785.714,1,1
139,166,0.0,1,0
140,141,2400.0,1,1
140,168,1785.714,1,1
140,169,0.0,1,0
141,142,2400.0,1,1
141,169,1785.714,1,1
141,170,0.0,1,0
141,168,0.0,1,0
142,143,2400.0,1,1
142,170,1785.714,1,1
142,171,0.0,1,0
142,169,0.0,1,0
143,144,2400.0,1,1
143,171,1785.714,1,1
143,172,0.0,1,0
143,170,0.0,1,0
144,145,2400.0,1,1
144,172,1785.714,1,1
144,173,0.0,1,0
144,171,0.0,1,0
145,146,4800.0,1,1
145,173,1785.714,1,1
145,174,0.0,1,1
145,172,0.0,1,0
146,147,2400.0,1,1
146,174,1785.714,1,1
146,175,0.0,1,0
146,173,0.0,1,1
147,148,2400.0,1,1
147,175,1785.714,1,1
147,176,0.0,1,0
147,174,0.0,1,0
148,149,2400.0,1,1
148,176,1785.714,1,1
148,177,0.0,1,0
148,175,0.0,1,0
149,150,2400.0,1,1
149,177,1785.714,1,1
149,178,0.0,1,0
149,176,0.0,1,0
150,151,2400.0,1,1
150,178,1785.714,1,1
150,179,0.0,1,0
150,177,0.0,1,0
151,152,4800.0,1,1
151,179,1785.714,1,1
151,180,0.0,1,1
151,178,0.0,1,0
152,153,2400.0,1,1
152,180,1785.714,1,1
152,181,0.0,1,0
152,179,0.0,1,1
153,154,2400.0,1,1
153,181,1785.714,1,1
153,182,0.0,1,0
153,180,0.0,1,0
154,155,2400.0,1,1
154,182,1785.714,1,1
154,183,0.0,1,0
154,181,0.0,1,0
155,156,2400.0,1,1
155,183,1785.714,1,1
155,184,0.0,1,0
155,182,0.0,1,0
156,157,2400.0,1,1
156,184,1785.714,1,1
156,185,0.0,1,0
156,183,0.0,1,0
157,158,2400.0,1,1
157,185,1785.714,1,1
157,186,0.0,1,0
157,184,0.0,1,0
158,159,2400.0,1,1
158,186,1785.714,1,1
158,187,0.0,1,0
158,185,0.0,1,0
159,160,0.0,1,0
159,187,1785.714,1,1
159,188,0.0,1,0
159,186,0.0,1,0
160,161,2400.0,1,1
160,188,1785.714,1,1
160,189,0.0,1,0
160,187,0.0,1,0
161,162,0.0,1,0
161,189,1785.714,1,1
161,190,0.0,1,0
161,188,0.0,1,0
162,163,2400.0,1,1
162,190,1785.714,1,1
162,191,0.0,1,0
162,189,0.0,1,0
163,164,2400.0,1,1
163,191,1785.714,1,1
163,192,0.0,1,0
163,190,0.0,1,0
164,165,0.0,1,0
164,192,1785.714,1,1
164,193,0.0,1,0
164,191,0.0,1,0
165,166,2400.0,1,1
165,193,1785.714,1,1
165,194,0.0,1,0
165,192,0.0,1,0
166,167,0.0,1,0
166,194,1785.714,1,1
166,195,0.0,1,0
166,193,0.0,1,0
167,195,1785.714,1,1
167,194,0.0,1,0
168,169,2400.0,1,1
168,196,1785.714,1,1
168,197,0.0,1,0
169,170,2400.0,1,1
169,197,1785.714,1,1
169,198,0.0,1,0
169,196,0.0,1,0
170,171,2400.0,1,1
170,198,1785.714,1,1
170,199,0.0,1,0
170,197,0.0,1,0
171,172,2400.0,1,1
171,199,1785.714,1,1
171,200,0.0,1,0
171,198,0.0,1,0
172,173,2400.0,1,1
172,200,1785.714,1,1
172,201,0.0,1,0
172,199,0.0,1,0
173,174,4800.0,1,1
173,201,1785.714,1,1
173,202,0.0,1,1
173,200,0.0,1,0
174,175,2400.0,1,1
174,202,1785.714,1,1
174,203,0.0,1,0
174,201,0.0,1,1
175,176,2400.0,1,1
175,203,1785.714,1,1
175,204,0.0,1,0
175,202,0.0,1,0
176,177,2400.0,1,1
176,204,1785.714,1,1
176,205,0.0,1,0
176,203,0.0,1,0
177,178,2400.0,1,1
177,205,1785.714,1,1
177,206,0.0,1,0
177,204,0.0,1,0
178,179,2400.0,1,1
178,206,1785.714,1,1
178,207,0.0,1,0
178,205,0.0,1,0
179,180,4800.0,1,1
179,207,1785.714,1,1
179,208,0.0,1,1
179,206,0.0,1,0
180,181,2400.0,1,1
180,208,1785.714,1,1
180,209,0.0,1,0
180,207,0.0,1,1
181,182,2400.0,1,1
181,209,1785.714,1,1
181,210,0.0,1,0
181,208,0.0,1,0
182,183,2400.0,1,1
182,210,1785.714,1,1
182,211,0.0,1,0
182,209,0.0,1,0
183,184,2400.0,1,1
183,211,1785.714,1,1
183,212,0.0,1,0
183,210,0.0,1,0
184,185,2400.0,1,1
184,212,1785.714,1,1
184,213,0.0,1,0
184,211,0.0,1,0
185,186,2400.0,1,1
185,213,1785.714,1,1
185,214,0.0,1,0
185,212,0.0,1,0
186,187,2400.0,1,1
186,214,1785.714,1,1
186,215,0.0,1,0
186,213,0.0,1,0
187,188,0.0,1,0
187,215,1785.714,1,1
187,216,0.0,1,0
187,214,0.0,1,0
188,189,2400.0,1,1
188,216,1785.714,1,1
188,217,0.0,1,0
188,215,0.0,1,0
189,190,0.0,1,0
189,217,1785.714,1,1
189,218,0.0,1,0
189,216,0.0,1,0
190,191,2400.0,1,1
190,218,1785.714,1,1
190,219,0.0,1,0
190,217,0.0,1,0
191,192,2400.0,1,1
191,219,1785.714,1,1
191,220,0.0,1,0
191,218,0.0,1,0
192,193,0.0,1,0
192,220,1785.714,1,1
192,221,0.0,1,0
192,219,0.0,1,0
193,194,2400.0,1,1
193,221,1785.714,1,1
193,222,0.0,1,0
193,220,0.0,1,0
194,195,0.0,1,0
194,222,1785.714,1,1
194,223,0.0,1,0
194,221,0.0,1,0
195,223,1785.714,1,1
195,222,0.0,1,0
196,197,2400.0,1,1
196,224,1785.714,1,1
196,225,0.0,1,0
197,198,2400.0,1,1
197,225,1785.714,1,1
197,226,0.0,1,0
197,224,0.0,1,0
198,199,2400.0,1,1
198,226,1785.714,1,1
198,227,0.0,1,0
198,225,0.0,1,0
199,200,2400.0,1,1
199,227,1785.714,1,1
199,228,0.0,1,0
199,226,0.0,1,0
200,201,2400.0,1,1
200,228,1785.714,1,1
200,229,0.0,1,0
200,227,0.0,1,0
201,202,4800.0,1,1
201,229,1785.714,1,1
201,230,0.0,1,1
201,228,0.0,1,0
202,203,2400.0,1,1
202,230,1785.714,1,1
202,231,0.0,1,0
202,229,0.0,1,1
203,204,2400.0,1,1
203,231,1785.714,1,1
203,232,0.0,1,0
203,230,0.0,1,0
204,205,2400.0,1,1
204,232,1785.714,1,1
204,233,0.0,1,0
204,231,0.0,1,0
205,206,2400.0,1,1
205,233,1785.714,1,1
205,234,0.0,1,0
205,232,0.0,1,0
206,207,2400.0,1,1
206,234,1785.714,1,1
206,235,0.0,1,0
206,233,0.0,1,0
207,208,4800.0,1,1
207,235,1785.714,1,1
207,236,0.0,1,1
207,234,0.0,1,0
208,209,2400.0,1,1
208,236,1785.714,1,1
208,237,0.0,1,0
208,235,0.0,1,1
209,210,2400.0,1,1
209,237,1785.714,1,1
209,238,0.0,1,0
209,236,0.0,1,0
210,211,2400.0,1,1
210,238,1785.714,1,1
210,239,0.0,1,0
210,237,0.0,1,0
211,212,2400.0,1,1
211,239,1785.714,1,1
211,240,0.0,1,0
211,238,0.0,1,0
212,213,2400.0,1,1
212,240,1785.714,1,1
212,241,0.0,1,0
212,239,0.0,1,0
213,214,2400.0,1,1
213,241,1785.714,1,1
213,242,0.0,1,0
213,240,0.0,1,0
214,215,2400.0,1,1
214,242,1785.714,1,1
214,243,0.0,1,0
214,241,0.0,1,0
215,216,0.0,1,0
215,243,1785.714,1,1
215,244,0.0,1,0
215,242,0.0,1,0
216,217,2400.0,1,1
216,244,1785.714,1,1
216,245,0.0,1,0
216,243,0.0,1,0
217,218,0.0,1,0
217,245,1785.714,1,1
217,246,0.0,1,0
217,244,0.0,1,0
218,219,2400.0,1,1
218,246,1785.714,1,1
218,247,0.0,1,0
218,245,0.0,1,0
219,220,2400.0,1,1
219,247,1785.714,1,1
219,248,0.0,1,0
219,246,0.0,1,0
220,221,0.0,1,0
220,248,1785.714,1,1
220,249,0.0,1,0
220,247,0.0,1,0
221,222,2400.0,1,1
221,249,1785.714,1,1
221,250,0.0,1,0
221,248,0.0,1,0
222,223,0.0,1,0
222,250,1785.714,1,1
222,251,0.0,1,0
222,249,0.0,1,0
223,251,1785.714,1,1
223,250,0.0,1,0
224,225,2400.0,1,1
224,252,1785.714,1,1
224,253,0.0,1,0
225,226,2400.0,1,1
225,253,1785.714,1,1
225,254,0.0,1,0
225,252,0.0,1,0
226,227,2400.0,1,1
226,254,1785.714,1,1
226,255,0.0,1,0
226,253,0.0,1,0
227,228,2400.0,1,1
227,255,1785.714,1,1
227,256,0.0,1,0
227,254,0.0,1,0
228,229,2400.0,1,1
228,256,1785.714,1,1
228,257,0.0,1,0
228,255,0.0,1,0
229,230,4800.0,1,1
229,257,1785.714,1,1
229,258,0.0,1,1
229,256,0.0,1,0
230,231,2400.0,1,1
230,258,1785.714,1,1
230,259,0.0,1,0
230,257,0.0,1,1
231,232,2400.0,1,1
231,259,1785.714,1,1
231,260,0.0,1,0
231,258,0.0,1,0
232,233,2400.0,1,1
232,260,1785.714,1,1
232,261,0.0,1,0
232,259,0.0,1,0
233,234,2400.0,1,1
233,261,1785.714,1,1
233,262,0.0,1,0
233,260,0.0,1,0
234,235,2400.0,1,1
234,262,1785.714,1,1
234,263,0.0,1,0
234,261,0.0,1,0
235,236,4800.0,1,1
235,263,1785.714,1,1
235,264,0.0,1,1
235,262,0.0,1,0
236,237,2400.0,1,1
236,264,1785.714,1,1
236,265,0.0,1,0
236,263,0.0,1,1
237,238,2400.0,1,1
237,265,1785.714,1,1
237,266,0.0,1,0
237,264,0.0,1,0
238,239,2400.0,1,1
238,266,1785.714,1,1
238,267,0.0,1,0
238,265,0.0,1,0
239,240,2400.0,1,1
239,267,1785.714,1,1
239,268,0.0,1,0
239,266,0.0,1,0
240,241,2400.0,1,1
240,268,1785.714,1,1
240,269,0.0,1,0
240,267,0.0,1,0
241,242,2400.0,1,1
241,269,1785.714,1,1
241,270,0.0,1,0
241,268,0.0,1,0
242,243,2400.0,1,1
242,270,1785.714,1,1
242,271,0.0,1,0
242,269,0.0,1,0
243,244,0.0,1,0
243,271,1785.714,1,1
243,272,0.0,1,0
243,270,0.0,1,0
244,245,2400.0,1,1
244,272,1785.714,1,1
244,273,0.0,1,0
244,271,0.0,1,0
245,246,0.0,1,0
245,273,1785.714,1,1
245,274,0.0,1,0
245,272,0.0,1,0
246,247,2400.0,1,1
246,274,1785.714,1,1
246,275,0.0,1,0
246,273,0.0,1,0
247,248,2400.0,1,1
247,275,1785.714,1,1
247,276,0.0,1,0
247,274,0.0,1,0
248,249,0.0,1,0
248,276,1785.714,1,1
248,277,0.0,1,0
248,275,0.0,1,0
249,250,2400.0,1,1
249,277,1785.714,1,1
249,278,0.0,1,0
249,276,0.0,1,0
250,251,0.0,1,0
250,278,1785.714,1,1
250,279,0.0,1,0
250,277,0.0,1,0
251,279,1785.714,1,1
251,278,0.0,1,0
252,253,2400.0,1,1
252,280,1785.714,1,1
252,281,0.0,1,0
253,254,2400.0,1,1
253,281,1785.714,1,1
253,282,0.0,1,0
253,280,0.0,1,0
254,255,2400.0,1,1
254,282,1785.714,1,1
254,283,0.0,1,0
254,281,0.0,1,0
255,256,2400.0,1,1
255,283,1785.714,1,1
255,284,0.0,1,0
255,282,0.0,1,0
256,257,2400.0,1,1
256,284,1785.714,1,1
256,285,0.0,1,0
256,283,0.0,1,0
257,258,4800.0,1,1
257,285,1785.714,1,1
257,286,0.0,1,1
257,284,0.0,1,0
258,259,2400.0,1,1
258,286,1785.714,1,1
258,287,0.0,1,0
258,285,0.0,1,1
259,260,2400.0,1,1
259,287,1785.714,1,1
259,288,0.0,1,0
259,286,0.0,1,0
260,261,2400.0,1,1
260,288,1785.714,1,1
260,289,0.0,1,0
260,287,0.0,1,0
261,262,2400.0,1,1
261,289,1785.714,1,1
261,290,0.0,1,0
261,288,0.0,1,0
262,263,2400.0,1,1
262,290,1785.714,1,1
262,291,0.0,1,0
262,289,0.0,1,0
263,264,4800.0,1,1
263,291,1785.714,1,1
263,292,0.0,1,1
263,290,0.0,1,0
264,265,2400.0,1,1
264,292,1785.714,1,1
264,293,0.0,1,0
264,291,0.0,1,1
265,266,2400.0,1,1
265,293,1785.714,1,1
265,294,0.0,1,0
265,292,0.0,1,0
266,267,2400.0,1,1
266,294,1785.714,1,1
266,295,0.0,1,0
266,293,0.0,1,0
267,268,2400.0,1,1
267,295,1785.714,1,1
267,296,0.0,1,0
267,294,0.0,1,0
268,269,2400.0,1,1
268,296,1785.714,1,1
268,297,0.0,1,0
268,295,0.0,1,0
269,270,2400.0,1,1
269,297,1785.714,1,1
269,298,0.0,1,0
269,296,0.0,1,0
270,271,2400.0,1,1
270,298,1785.714,1,1
270,299,0.0,1,0
270,297,0.0,1,0
271,272,0.0,1,0
271,299,1785.714,1,1
271,300,0.0,1,0
271,298,0.0,1,0
272,273,2400.0,1,1
272,300,1785.714,1,1
272,301,0.0,1,0
272,299,0.0,1,0
273,274,0.0,1,0
273,301,1785.714,1,1
273,302,0.0,1,0
273,300,0.0,1,0
274,275,2400.0,1,1
274,302,1785.714,1,1
274,303,0.0,1,0
274,301,0.0,1,0
275,276,2400.0,1,1
275,303,1785.714,1,1
275,304,0.0,1,0
275,302,0.0,1,0
276,277,0.0,1,0
276,304,1785.714,1,1
276,305,0.0,1,0
276,303,0.0,1,0
277,278,2400.0,1,1
277,305,1785.714,1,1
277,306,0.0,1,0
277,304,0.0,1,0
278,279,0.0,1,0
278,306,1785.714,1,1
278,307,0.0,1,0
278,305,0.0,1,0
279,307,1785.714,1,1
279,306,0.0,1,0
280,281,2400.0,1,1
280,308,1785.714,1,1
280,309,0.0,1,0
281,282,2400.0,1,1
281,309,1785.714,1,1
281,310,0.0,1,0
281,308,0.0,1,0
282,283,2400.0,1,1
282,310,1785.714,1,1
282,311,0.0,1,0
282,309,0.0,1,0
283,284,2400.0,1,1
283,311,1785.714,1,1
283,312,0.0,1,0
283,310,0.0,1,0
284,285,2400.0,1,1
284,312,1785.714,1,1
284,313,0.0,1,0
284,311,0.0,1,0
285,286,4800.0,1,1
285,313,1785.714,1,1
285,314,0.0,1,1
285,312,0.0,1,0
286,287,2400.0,1,1
286,314,1785.714,1,1
286,315,0.0,1,0
286,313,0.0,1,1
287,288,2400.0,1,1
287,315,1785.714,1,1
287,316,0.0,1,0
