unit_id,row,col,area_ha,land_type,slope_deg,disturbance,erosion_risk,biodiversity,human_exposure,dist_water_m,dist_settle_m,dist_source_m,rest_cost,risk_reduction,habitat_gain,water_gain,priority_score,candidate
11,0,11,428.5714,mixed_rural_land,0.5027,0.2166,0.0784,0.3239,0.1908,9598.13,11484.33,9848.94,635.325,69.8961,148.3689,12.3429,0.362976,1
12,0,12,428.5714,mixed_rural_land,0.603,0.0896,0.04,0.4117,0.2223,9929.57,13005.18,8287.0,601.6347,42.3271,181.2365,10.6478,0.389292,1
13,0,13,428.5714,mixed_rural_land,0.7071,0.0813,0.097,0.273,0.1247,10261.01,14586.2,6798.27,591.0339,40.918,162.0737,10.4682,0.361164,1
14,0,14,428.5714,mixed_rural_land,0.762,0.3015,0.1019,0.2852,0.1858,10566.06,16209.79,5423.97,771.9217,89.3512,179.3358,9.6552,0.360584,1
15,0,15,428.5714,mixed_rural_land,0.7405,0.0759,0.0886,0.4241,0.1765,10178.69,17506.01,4236.49,580.0385,43.0642,226.2249,10.5993,0.482534,1
16,0,16,428.5714,mixed_rural_land,0.6376,0.2838,0.0791,0.4534,0.1651,9791.31,16609.93,3331.15,700.3799,80.7532,245.0982,11.6897,0.48194,1
17,0,17,428.5714,degraded_forest,0.468,0.2187,0.0566,0.6216,0.1747,9403.94,15653.19,2850.89,691.2877,65.6456,291.5466,12.6639,0.535025,1
18,0,18,428.5714,mixed_rural_land,0.2664,0.1674,0.0984,0.5682,0.1823,9016.56,14850.34,2892.93,666.8422,62.6784,278.3345,14.9645,0.533825,1
19,0,19,428.5714,mixed_rural_land,0.134,0.3166,0.1014,0.3979,0.2039,8801.81,14227.45,3453.07,748.1714,93.7571,230.3333,15.9742,0.454528,1
20,0,20,428.5714,mixed_rural_land,0.2329,0.3234,0.0528,0.4029,0.1373,8945.55,13808.9,4407.78,769.3804,82.0556,219.0739,14.3605,0.410057,1
21,0,21,428.5714,mixed_rural_land,0.3497,0.0529,0.0729,0.4806,0.1507,9294.5,13613.55,5635.45,575.097,34.0641,223.056,13.362,0.470324,1
22,0,22,428.5714,mixed_rural_land,0.3942,0.0654,0.1195,0.2443,0.1577,9644.71,13650.97,7028.07,519.0157,44.0535,153.0934,12.8507,0.404607,1
23,0,23,428.5714,mixed_rural_land,0.3523,0.0,0.0912,0.3524,0.1573,9994.92,13919.3,8532.06,542.2373,27.1602,165.2371,11.2087,0.375492,1
24,0,24,428.5714,mixed_rural_land,0.2327,0.1697,0.0717,0.3543,0.1561,10345.13,14405.64,10105.57,566.9013,56.8559,153.7129,9.88,0.388866,1
25,0,25,428.5714,mixed_rural_land,0.0661,0.2078,0.0601,0.3178,0.1126,10695.33,15088.92,11726.29,627.6834,58.7469,134.6033,8.799,0.322056,1
26,0,26,428.5714,mixed_rural_land,0.1474,0.381,0.0232,0.1925,0.1734,11045.54,15943.84,13384.24,829.5383,91.8179,95.9529,7.5571,0.235466,1
27,0,27,428.5714,mixed_rural_land,0.3245,0.0364,0.0462,0.2577,0.1443,11395.75,16944.45,15065.5,535.4408,26.3137,103.4881,7.0652,0.255615,1
28,1,0,428.5714,mixed_rural_land,0.5788,0.1234,0.1152,0.2069,0.2894,5473.32,10869.88,23394.21,570.5553,65.9017,67.3611,42.09,0.307337,1
29,1,1,428.5714,mixed_rural_land,0.529,0.1729,0.1724,0.2102,0.3067,5919.9,9232.89,22947.44,634.9971,85.4824,68.9918,39.7543,0.305873,1
30,1,2,428.5714,mixed_rural_land,0.4726,0.2074,0.1688,0.0742,0.3222,6397.84,7662.61,22616.18,662.7721,92.9316,37.5706,34.5316,0.249005,1
31,1,3,428.5714,mixed_rural_land,0.4877,0.1951,0.1406,0.0312,0.4349,6875.77,6209.87,22397.83,605.8409,95.9991,27.8801,29.1086,0.252521,1
32,1,4,428.5714,mixed_rural_land,0.6011,0.1949,0.1416,0.1628,0.4111,7353.71,4978.65,21207.41,644.8178,94.0612,61.5137,25.4239,0.280698,1
33,1,5,428.5714,mixed_rural_land,0.7557,0.0,0.1206,0.1192,0.4924,7690.75,4170.02,19441.02,469.033,60.2943,55.7067,22.4902,0.29527,1
34,1,6,428.5714,mixed_rural_land,0.8924,0.0267,0.1094,0.1645,0.5543,7425.85,4045.82,17676.05,522.1055,69.0631,71.6951,23.9128,0.315398,1
35,1,7,428.5714,mixed_rural_land,0.9806,0.2627,0.1352,0.0906,0.4567,7160.96,4661.09,15915.66,745.9775,110.0878,60.6279,26.6503,0.264574,1
36,1,8,428.5714,mixed_rural_land,1.0168,0.2779,0.167,0.3091,0.3776,6896.07,5784.5,14161.62,737.4244,110.9988,119.6517,29.8852,0.353305,1
37,1,9,428.5714,mixed_rural_land,1.021,0.0536,0.1672,0.2262,0.3647,6700.1,7181.41,12416.6,553.7664,66.6709,109.0308,31.6141,0.374374,1
38,1,10,428.5714,mixed_rural_land,1.0277,0.2193,0.1463,0.2089,0.3138,6908.39,8721.38,10682.66,688.1901,91.1258,115.503,29.0422,0.34245,1
39,1,11,428.5714,mixed_rural_land,1.0649,0.0,0.1267,0.2625,0.2639,7239.83,10340.69,8957.91,523.4933,41.63,140.6178,25.7825,0.397389,1
40,1,12,428.5714,mixed_rural_land,1.1315,0.3517,0.1249,0.4188,0.2313,7571.27,12007.28,7261.84,744.546,106.3835,192.0054,23.3989,0.432193,1
41,1,13,428.5714,mixed_rural_land,1.1973,0.2003,0.1675,0.521,0.1627,7902.72,13703.91,5594.48,629.9202,77.6923,233.0346,22.4292,0.528886,1
42,1,14,428.5714,mixed_rural_land,1.2238,0.2151,0.0956,0.3886,0.1288,8223.21,14794.79,3990.56,627.4004,66.8634,220.9963,18.702,0.488622,1
43,1,15,428.5714,mixed_rural_land,1.1831,0.2367,0.1022,0.5647,0.1876,7835.84,15186.19,2500.01,695.176,77.062,283.3021,21.0739,0.548693,1
44,1,16,428.5714,degraded_forest,1.0664,0.0,0.1347,0.709,0.1661,7448.46,14709.52,1245.04,497.1531,34.4427,337.3946,24.5345,0.797283,1
45,1,17,428.5714,degraded_forest,0.8858,0.3765,0.1616,0.739,0.2107,7061.09,13619.93,483.96,836.9895,114.9149,357.9311,28.3269,0.598781,1
46,1,18,428.5714,degraded_forest,0.6745,0.0,0.1719,0.7033,0.2052,6673.71,12689.08,554.26,470.3868,43.3699,348.2292,32.033,0.900604,1
47,1,19,428.5714,mixed_rural_land,0.4878,0.2558,0.129,0.5488,0.233,6402.49,11954.1,1418.33,643.3854,88.659,296.7139,32.844,0.650026,1
48,1,20,428.5714,mixed_rural_land,0.3941,0.2092,0.0672,0.5076,0.2736,6590.9,11452.76,2729.48,655.4498,73.875,266.4423,28.7047,0.563006,1
49,1,21,428.5714,mixed_rural_land,0.3981,0.158,0.1079,0.4703,0.2707,6941.11,11216.44,4240.77,636.0014,69.8491,237.059,27.4126,0.52566,1
50,1,22,428.5714,mixed_rural_land,0.4135,0.1252,0.121,0.504,0.2742,7291.32,11261.84,5857.15,636.1255,65.7886,226.1684,25.2227,0.498612,1
51,1,23,428.5714,mixed_rural_land,0.3782,0.2037,0.0535,0.444,0.1832,7641.53,11585.64,7530.86,670.3998,63.0169,195.4736,20.8654,0.416701,1
52,1,24,428.5714,mixed_rural_land,0.2855,0.0,0.0472,0.2793,0.1766,7991.73,12165.63,9232.36,451.98,22.2193,142.4353,18.7138,0.4057,1
53,1,25,428.5714,mixed_rural_land,0.1893,0.26,0.0953,0.368,0.1917,8341.94,12967.48,10959.81,666.1771,80.8758,151.2015,18.0731,0.375501,1
54,1,26,428.5714,mixed_rural_land,0.2298,0.3008,0.0663,0.2866,0.1374,8692.15,13953.0,12695.04,731.0331,79.741,121.7327,15.7299,0.297119,1
55,1,27,428.5714,mixed_rural_land,0.3689,0.3334,0.0465,0.3132,0.1185,9042.35,15086.23,14441.74,792.7641,81.4358,119.3207,13.8472,0.270703,1
56,2,0,428.5714,mixed_rural_land,0.5851,0.0,0.2141,0.1803,0.3245,3129.52,10233.0,21101.3,484.7025,59.9343,65.8784,92.6224,0.450658,1
57,2,1,428.5714,mixed_rural_land,0.5431,0.1792,0.1944,0.0718,0.3154,3607.46,8473.85,20614.56,648.8164,90.7506,41.4577,78.996,0.325523,1
58,2,2,428.5714,mixed_rural_land,0.5146,0.0426,0.1259,0.0939,0.3876,4085.39,6728.71,20245.48,480.5494,60.3313,47.6018,63.4305,0.356599,1
59,2,3,428.5714,mixed_rural_land,0.5729,0.2028,0.2023,0.2712,0.5034,4563.33,5012.24,20007.48,611.9722,112.6095,89.9949,60.6641,0.430197,1
60,2,4,428.5714,mixed_rural_land,0.7225,0.3152,0.1699,0.164,0.5467,5041.26,3368.53,19905.42,783.5335,133.122,64.9975,50.946,0.317875,1
61,2,5,428.5714,mixed_rural_land,0.9026,0.109,0.1483,0.128,0.6602,5317.3,1987.22,19204.54,547.0238,99.8395,58.4262,45.8674,0.37317,1
62,2,6,428.5714,mixed_rural_land,1.0586,0.2611,0.1218,0.1637,0.684,5052.41,1711.32,17420.97,675.9186,127.2523,72.3562,47.8641,0.366128,1
63,2,7,428.5714,mixed_rural_land,1.1613,0.3322,0.1382,0.1625,0.561,4787.51,2878.5,15637.41,719.6212,132.8818,78.6853,52.7028,0.367235,1
64,2,8,428.5714,mixed_rural_land,1.2065,0.0,0.1612,0.2091,0.5469,4522.62,4474.42,13853.87,480.7429,71.0611,97.5422,58.4722,0.472343,1
65,2,9,428.5714,mixed_rural_land,1.213,0.2061,0.1471,0.1251,0.438,4300.15,6175.17,12070.82,654.2579,99.3577,87.1746,61.2484,0.37872,1
66,2,10,428.5714,mixed_rural_land,1.215,0.3037,0.1478,0.3781,0.3839,4550.1,7913.44,10288.69,780.5503,113.6428,158.0472,57.0734,0.421194,1
67,2,11,428.5714,mixed_rural_land,1.2442,0.2638,0.1982,0.273,0.2728,4881.54,9669.01,8508.07,694.8109,103.9878,146.7176,55.1315,0.440173,1
68,2,12,428.5714,mixed_rural_land,1.3055,0.0854,0.1271,0.4564,0.2685,5212.98,11433.93,6730.14,606.0741,58.5617,205.9783,46.0302,0.512429,1
69,2,13,428.5714,mixed_rural_land,1.372,0.2486,0.1714,0.5158,0.234,5544.42,12215.1,4957.82,683.7575,93.7206,239.056,44.2076,0.551342,1
70,2,14,428.5714,mixed_rural_land,1.4031,0.0,0.1255,0.4345,0.1923,5875.86,12432.45,3191.39,543.6567,35.3012,242.5814,38.0074,0.581047,1
71,2,15,428.5714,degraded_forest,1.3649,0.1603,0.1572,0.7054,0.2515,5492.99,12895.75,1438.51,666.1689,76.0528,333.2996,44.0998,0.680687,1
72,2,16,428.5714,degraded_forest,1.2414,0.1223,0.1532,0.7601,0.2184,5105.61,12975.74,0.0,594.4599,65.2929,372.0266,49.0239,0.818126,1
73,2,17,428.5714,degraded_forest,1.0378,0.0345,0.1428,0.7909,0.2677,4718.24,11726.15,0.0,520.9907,51.0198,379.2892,54.0626,0.929713,1
74,2,18,428.5714,degraded_forest,0.7796,0.192,0.1977,0.6683,0.2423,4330.86,10630.74,0.0,682.6659,87.456,350.3895,64.4853,0.735837,1
75,2,19,428.5714,degraded_forest,0.5118,0.3357,0.1324,0.8498,0.3155,4003.98,9741.69,0.0,754.5859,111.6342,393.1749,65.4493,0.755724,1
76,2,20,428.5714,degraded_forest,0.3075,0.2473,0.1416,0.7278,0.3547,4237.51,9119.53,1715.67,657.9231,99.3395,334.0018,61.9336,0.752785,1
77,2,21,428.5714,mixed_rural_land,0.2625,0.223,0.1742,0.5597,0.2849,4587.72,8820.92,3474.01,644.2501,93.5616,268.1809,58.2926,0.651975,1
78,2,22,428.5714,mixed_rural_land,0.3093,0.0534,0.1329,0.391,0.285,4937.92,8878.57,5240.78,542.9536,54.6562,206.3657,50.1546,0.573118,1
79,2,23,428.5714,mixed_rural_land,0.314,0.1551,0.1632,0.2687,0.334,5288.13,9285.85,7014.35,561.4841,83.0198,158.9598,47.0967,0.514843,1
80,2,24,428.5714,mixed_rural_land,0.2473,0.2598,0.1483,0.218,0.3253,5638.34,10000.12,8792.83,710.3359,100.2286,131.4268,41.8477,0.385034,1
81,2,25,428.5714,mixed_rural_land,0.1523,0.2487,0.1116,0.2125,0.2905,5988.55,10961.55,10573.75,657.3802,89.6118,117.0705,36.1611,0.369411,1
82,2,26,428.5714,mixed_rural_land,0.1908,0.2685,0.0954,0.1947,0.2152,6338.75,12111.41,12356.06,679.9242,84.5373,101.9607,32.0344,0.321407,1
83,2,27,428.5714,mixed_rural_land,0.3394,0.0,0.0959,0.1924,0.2143,6688.96,13401.28,14139.22,436.6274,32.7582,92.2535,29.005,0.352742,1
84,3,0,428.5714,mixed_rural_land,0.4226,0.204,0.3016,0.2547,0.3343,817.08,10138.75,18833.69,656.5944,113.25,89.3683,197.1538,0.608857,1
85,3,1,428.5714,mixed_rural_land,0.3208,0.0122,0.3291,0.2545,0.4366,1295.01,8359.8,18289.71,532.9811,89.1465,90.9481,176.8605,0.669733,1
86,3,2,428.5714,mixed_rural_land,0.2163,0.2116,0.2732,0.2282,0.4021,1772.95,6584.49,17882.6,615.8163,116.2637,86.0557,145.6256,0.565014,1
87,3,3,428.5714,mixed_rural_land,0.2974,0.0563,0.2821,0.2347,0.5598,2250.88,4816.9,17619.77,539.5796,101.157,88.4383,128.2483,0.589058,1
88,3,4,428.5714,mixed_rural_land,0.5109,0.3601,0.2495,0.205,0.638,2728.82,3070.34,17506.16,813.0783,161.5666,81.8188,108.0311,0.432205,1
89,3,5,428.5714,mixed_rural_land,0.7228,0.1294,0.2004,0.0701,0.7574,2943.85,1424.44,17544.09,565.5046,119.9417,49.8881,96.1469,0.470335,1
90,3,6,428.5714,mixed_rural_land,0.8778,0.0802,0.2525,0.1567,0.7483,2678.96,1004.3,17442.4,576.2119,117.4917,70.6417,109.9444,0.517306,1
91,3,7,428.5714,mixed_rural_land,0.9477,0.3805,0.2994,0.0751,0.7031,2414.06,2523.05,15660.69,822.7706,178.5596,57.9729,124.6288,0.438957,1
92,3,8,428.5714,mixed_rural_land,0.9253,0.1858,0.2743,0.1628,0.5597,2149.17,4254.46,13880.01,599.5874,124.9566,86.5122,130.9331,0.571063,1
93,3,9,428.5714,mixed_rural_land,0.8296,0.1081,0.2575,0.1579,0.4356,1900.34,6017.7,12100.8,600.9404,96.8083,94.7239,138.0832,0.548499,1
94,3,10,428.5714,mixed_rural_land,0.715,0.3937,0.3081,0.3411,0.4155,2191.8,7791.18,10323.85,813.3123,157.7695,149.0874,134.007,0.54206,1
95,3,11,428.5714,mixed_rural_land,0.6727,0.0341,0.2811,0.389,0.2822,2523.24,9569.21,8550.56,476.7017,72.9159,173.7145,118.5157,0.765985,1
96,3,12,428.5714,mixed_rural_land,0.7588,0.3088,0.2515,0.4272,0.2762,2854.68,9870.61,6782.85,701.6097,120.9458,198.5648,104.4465,0.604263,1
97,3,13,428.5714,mixed_rural_land,0.9161,0.3225,0.178,0.4287,0.3147,3186.12,9818.79,5017.1,757.2739,115.8793,217.8176,87.4038,0.556074,1
98,3,14,428.5714,mixed_rural_land,1.0552,0.1422,0.1883,0.6184,0.2815,3517.56,10087.9,3267.91,603.4699,79.8038,284.8582,80.475,0.737629,1
99,3,15,428.5714,mixed_rural_land,1.118,0.0,0.1843,0.6015,0.3287,3150.14,10653.66,1544.07,492.9256,55.8287,307.0435,88.9663,0.916646,1
100,3,16,428.5714,degraded_forest,1.0792,0.1992,0.2786,0.7202,0.2949,2762.76,11472.26,0.0,639.8323,105.4863,362.6126,110.3837,0.904116,1
101,3,17,428.5714,degraded_forest,0.9419,0.304,0.2239,0.8785,0.3643,2375.39,10050.99,0.0,788.4666,123.4564,399.937,116.1739,0.811153,1
102,3,18,428.5714,degraded_forest,0.7361,0.1842,0.2359,0.8833,0.3729,1988.01,8748.3,0.0,605.2152,102.8797,401.0598,131.5209,1.049974,1
103,3,19,428.5714,degraded_forest,0.5239,0.2531,0.2731,0.7892,0.3625,1609.93,7643.33,152.73,692.4659,120.8554,375.954,152.5545,0.937756,1
104,3,20,428.5714,degraded_forest,0.4082,0.2729,0.287,0.6537,0.3862,1884.12,6832.7,1815.16,660.0874,128.7844,314.9242,143.1523,0.889065,1
105,3,21,428.5714,mixed_rural_land,0.4423,0.3178,0.2129,0.58,0.4503,2234.32,6428.73,3545.38,699.6915,131.8215,271.9963,119.4576,0.747866,1
106,3,22,428.5714,mixed_rural_land,0.5147,0.4651,0.1876,0.53,0.4181,2584.53,6507.61,5299.22,883.0998,153.6821,238.457,104.9687,0.562912,1
107,3,23,428.5714,mixed_rural_land,0.5287,0.278,0.1964,0.2788,0.4401,2934.74,7053.15,7065.47,678.0386,120.7932,160.8726,95.9549,0.556931,1
108,3,24,428.5714,mixed_rural_land,0.4592,0.3545,0.2031,0.3034,0.3765,3284.95,7970.1,8833.95,764.7827,131.1115,151.245,87.4954,0.483604,1
109,3,25,428.5714,mixed_rural_land,0.3255,0.2444,0.1792,0.3632,0.3569,3635.15,9147.43,10607.97,632.5505,104.6055,152.3761,76.9846,0.527968,1
110,3,26,428.5714,mixed_rural_land,0.1982,0.0673,0.1229,0.1602,0.2613,3985.36,10497.91,12385.35,545.0492,53.8003,93.6561,65.0174,0.389825,1
111,3,27,428.5714,mixed_rural_land,0.2257,0.0644,0.1632,0.0927,0.2833,4335.57,11963.04,14164.83,582.0531,61.1727,68.6429,61.8277,0.329254,1
112,4,0,428.5714,mixed_rural_land,0.5107,0.1217,0.2566,0.1643,0.3338,1495.36,10601.62,16588.17,545.0861,90.5594,75.4464,154.8575,0.588647,1
113,4,1,428.5714,mixed_rural_land,0.4575,0.2338,0.3316,0.0947,0.4114,1017.43,8915.5,15985.29,681.7151,130.091,61.3284,191.943,0.56235,1
114,4,2,428.5714,mixed_rural_land,0.4229,0.3738,0.3199,0.1596,0.446,539.49,7277.06,15531.11,792.3664,158.3157,78.4239,217.4587,0.573217,1
115,4,3,428.5714,mixed_rural_land,0.5006,0.2384,0.4185,0.0933,0.5107,61.56,5727.35,15235.91,659.9544,152.5283,64.0264,274.1766,0.743584,1
116,4,4,428.5714,mixed_rural_land,0.677,0.3031,0.3494,0.0899,0.6269,416.38,4361.99,15107.14,758.6294,164.5902,63.7662,231.9751,0.606794,1
117,4,5,428.5714,mixed_rural_land,0.8679,0.1533,0.3368,0.1616,0.6275,570.4,3410.14,15148.33,640.512,133.873,80.4818,219.2324,0.676938,1
118,4,6,428.5714,mixed_rural_land,1.0085,0.1307,0.3773,0.161,0.6641,305.51,3257.09,15358.61,579.0352,138.7177,79.4767,246.01,0.801686,1
119,4,7,428.5714,mixed_rural_land,1.06,0.3326,0.4395,0.2979,0.5994,40.62,3995.72,15732.81,751.9848,181.4344,110.2223,281.1556,0.761734,1
120,4,8,428.5714,mixed_rural_land,1.0062,0.3813,0.4103,0.1215,0.5542,224.28,5263.12,14246.51,745.1373,182.5796,75.043,259.7366,0.694314,1
121,4,9,428.5714,mixed_rural_land,0.8597,0.2245,0.3665,0.2701,0.442,489.17,6768.51,12512.05,655.8407,136.1557,118.8593,231.0078,0.741068,1
122,4,10,428.5714,mixed_rural_land,0.68,0.2699,0.4422,0.1531,0.4408,166.5,8384.66,10784.58,715.8634,156.1757,101.6849,271.901,0.740032,1
123,4,11,428.5714,riparian_buffer,0.6118,0.5759,0.4251,0.3904,0.4239,164.94,7971.64,9078.96,961.8145,211.1603,169.816,267.8097,0.674544,1
124,4,12,428.5714,riparian_buffer,0.7764,0.3415,0.3309,0.4045,0.4681,496.38,7493.27,7398.55,804.2676,155.6197,187.3849,222.6048,0.70326,1
125,4,13,428.5714,riparian_buffer,1.0673,0.2255,0.3118,0.4052,0.4174,827.82,7424.87,5763.38,633.0101,126.0469,203.8919,198.6132,0.834982,1
126,4,14,428.5714,riparian_buffer,1.3541,0.4347,0.3776,0.4235,0.4141,1159.26,7777.26,4195.48,886.3551,175.9727,226.5875,192.8103,0.671707,1
127,4,15,428.5714,riparian_buffer,1.5695,0.2889,0.3504,0.4498,0.4417,807.29,8498.26,2757.51,770.2618,146.123,252.4011,207.654,0.786977,1
128,4,16,428.5714,riparian_buffer,1.6864,0.3532,0.396,0.5653,0.4136,419.92,9504.35,1568.35,778.3199,162.9725,298.1056,242.3558,0.903785,1
129,4,17,428.5714,riparian_buffer,1.7079,0.4891,0.4622,0.7402,0.3946,32.54,8721.38,873.32,937.3538,197.4655,351.2048,287.5831,0.892143,1
130,4,18,428.5714,riparian_buffer,1.6631,0.4773,0.4351,0.6769,0.4493,354.84,7181.41,941.39,854.15,195.8232,335.0734,255.9859,0.921246,1
131,4,19,428.5714,riparian_buffer,1.5957,0.5584,0.4056,0.7457,0.5193,742.21,5784.5,1736.53,990.2935,213.0537,337.8748,223.0487,0.781563,1
132,4,20,428.5714,riparian_buffer,1.5419,0.3269,0.4195,0.4654,0.6174,469.28,4661.09,2972.1,817.1774,178.8932,252.9823,244.2528,0.827395,1
133,4,21,428.5714,abandoned_mine,1.5067,0.6906,0.4191,0.4361,0.5861,119.07,4045.82,4440.54,1058.8255,246.2791,226.5083,269.8499,0.701378,1
134,4,22,428.5714,riparian_buffer,1.463,0.3247,0.4347,0.4938,0.5573,231.14,4170.02,6021.66,782.8874,175.6056,222.0025,265.1153,0.846512,1
135,4,23,428.5714,riparian_buffer,1.3755,0.4466,0.3445,0.4268,0.5423,581.34,4978.65,7665.96,801.8067,184.2792,190.1975,220.2287,0.741707,1
136,4,24,428.5714,mixed_rural_land,1.2259,0.2775,0.3498,0.2145,0.4548,931.55,6209.87,9349.85,771.0216,144.9804,126.2783,200.3015,0.611604,1
137,4,25,428.5714,mixed_rural_land,1.0245,0.3384,0.3032,0.354,0.441,1281.76,7662.61,10923.63,787.2506,148.5382,148.131,172.9125,0.596483,1
138,4,26,428.5714,mixed_rural_land,0.8081,0.1211,0.2501,0.2836,0.3966,1631.97,9232.89,11438.49,596.8406,94.8576,128.2919,147.884,0.621663,1
139,4,27,428.5714,mixed_rural_land,0.6305,0.2941,0.2877,0.3388,0.3365,1982.17,10869.88,12132.4,707.9132,128.7216,137.1896,139.294,0.572394,1
140,5,0,428.5714,mixed_rural_land,1.0259,0.1106,0.2096,0.2357,0.2427,3807.81,11554.84,14391.83,588.7807,73.5691,101.2835,75.91,0.425902,1
141,5,1,428.5714,mixed_rural_land,1.0993,0.1565,0.2307,0.1995,0.3028,3329.87,10030.26,13712.68,659.6741,90.732,95.9807,89.1144,0.418126,1
142,5,2,428.5714,mixed_rural_land,1.1895,0.1855,0.2165,0.1922,0.3426,2851.94,8606.72,13196.44,630.4304,97.6032,96.8348,100.5397,0.467899,1
143,5,3,428.5714,mixed_rural_land,1.3271,0.0523,0.3136,0.305,0.3947,2374.0,7343.19,12858.06,554.0488,90.9646,125.1956,127.9275,0.621042,1
144,5,4,428.5714,mixed_rural_land,1.5128,0.0714,0.3419,0.2452,0.4415,1896.07,6336.17,12708.48,582.6924,102.8923,111.917,150.8673,0.627564,1
145,5,5,428.5714,mixed_rural_land,1.7162,0.2247,0.2833,0.2888,0.5081,1803.04,5722.68,12754.17,713.6996,129.3808,121.9353,145.9278,0.556598,1
146,5,6,428.5714,mixed_rural_land,1.8957,0.1035,0.2987,0.222,0.4579,2067.94,5632.82,12993.65,548.0228,104.023,104.9208,137.4872,0.632147,1
147,5,7,428.5714,mixed_rural_land,2.0172,0.1612,0.2688,0.2495,0.4836,2332.83,6089.81,13418.54,625.3689,112.8423,109.2229,123.515,0.552602,1
148,5,8,428.5714,abandoned_mine,2.0671,0.6386,0.2976,0.2255,0.4511,2597.72,6987.16,14015.18,1033.1934,206.4633,100.649,118.0372,0.411491,1
149,5,9,428.5714,mixed_rural_land,2.059,0.2406,0.2635,0.2792,0.392,2856.24,8181.24,13263.85,738.565,119.5332,117.0142,105.7635,0.463481,1
150,5,10,428.5714,mixed_rural_land,2.0354,0.41,0.2784,0.115,0.4296,2524.8,6896.56,11632.31,812.0175,157.6464,87.3744,118.1258,0.447215,1
151,5,11,428.5714,mixed_rural_land,2.0552,0.4566,0.2654,0.2515,0.4774,2193.36,5812.66,10033.46,905.2703,168.7902,129.9925,128.0672,0.471517,1
152,5,12,428.5714,mixed_rural_land,2.1608,0.5448,0.3669,0.4251,0.5033,1752.61,5137.03,8494.88,992.7541,203.2475,182.6832,161.0856,0.551009,1
153,5,13,428.5714,mixed_rural_land,2.3462,0.4236,0.4626,0.3161,0.596,489.92,5036.73,7037.77,892.5803,202.1762,169.9175,252.4412,0.699696,1
154,5,14,428.5714,mixed_rural_land,2.5613,0.3536,0.4133,0.2751,0.5412,772.77,5543.08,5702.84,767.7395,176.5777,173.8712,222.6871,0.746524,1
155,5,15,428.5714,mixed_rural_land,2.7455,0.4872,0.3305,0.5399,0.5022,1535.56,6516.17,4558.39,879.8323,186.5882,249.5253,165.3567,0.683619,1
156,5,16,428.5714,mixed_rural_land,2.855,0.5686,0.3659,0.4824,0.3965,1922.93,7782.85,3698.55,1007.4054,198.5428,246.9455,153.2863,0.594373,1
157,5,17,428.5714,mixed_rural_land,2.8749,0.5555,0.28,0.5539,0.378,2310.31,7913.44,3246.62,1009.9279,181.5341,269.9486,125.8054,0.571613,1
158,5,18,428.5714,mixed_rural_land,2.8195,0.6066,0.2664,0.5757,0.4886,2697.69,6175.17,3288.48,1055.0288,198.8246,274.5121,111.0043,0.553863,1
159,5,19,428.5714,mixed_rural_land,2.7217,0.6175,0.2386,0.5724,0.5755,3085.06,4474.42,3814.66,987.2914,204.216,266.6264,96.4139,0.574558,1
160,5,20,428.5714,mixed_rural_land,2.614,0.5615,0.2875,0.4008,0.6464,2822.67,2878.5,4727.97,972.106,206.8087,214.685,109.5315,0.546263,1
